month,specialty,appointment_type,appointments_attended,appointments_attended_routine,appointments_attended_urgent,appointments_attended_2_week_wait,dna,appointments_for_removals,removals
30/09/2022,Trauma & Orthopaedics,RTT Follow-up,818,708,110,0,103,395,205
31/12/2023,Dermatology,RTT Follow-up,562,146,109,307,10,493,360
31/10/2022,Gynaecology,RTT Follow-up,774,381,185,208,77,552,339
30/09/2023,Paediatrics,RTT Follow-up,23,19,4,0,1,25,21
30/04/2024,Colorectal Surgery,RTT Follow-up,101,53,14,34,1,569,405
30/06/2024,Paediatric ENT,RTT First,349,261,88,0,17,361,361
29/02/2024,Gastroenterology,RTT First,417,298,111,8,30,314,273
31/07/2022,Gynaecology,RTT First,1233,763,213,257,109,1079,1028
31/12/2023,Clinical Haematology,RTT First,98,34,26,38,14,84,82
31/07/2022,Paediatric ENT,RTT First,233,175,58,0,20,126,126
31/01/2024,Trauma & Orthopaedics,RTT First,679,612,67,0,61,661,593
30/06/2024,Urology,RTT Follow-up,244,92,50,102,24,200,106
31/03/2024,Urology,RTT First,441,164,102,175,26,381,324
31/08/2024,Diabetes,RTT Follow-up,65,43,22,0,20,10,4
30/06/2023,Urology,RTT Follow-up,305,132,42,131,35,189,108
31/05/2023,General Surgery,RTT Follow-up,398,332,61,5,30,261,138
30/09/2023,Neurology,Non-RTT,539,427,95,17,122,182,116
28/02/2023,Colorectal Surgery,Non-RTT,157,57,42,58,7,106,53
31/07/2022,Clinical Haematology,RTT Follow-up,52,27,13,12,1,31,24
30/09/2022,ENT,Non-RTT,598,455,82,61,139,541,294
30/04/2024,Clinical Haematology,Non-RTT,899,536,156,207,66,141,53
29/02/2024,Paediatrics,RTT First,314,266,48,0,29,334,327
30/06/2024,Colorectal Surgery,RTT First,535,53,51,431,17,871,519
31/08/2024,General Medicine,Non-RTT,76,76,0,0,1,66,53
31/05/2023,Paediatrics,RTT Follow-up,20,16,4,0,4,19,18
30/04/2023,Gynaecology,Non-RTT,462,260,121,81,95,397,203
31/10/2023,Paediatrics,RTT Follow-up,14,10,4,0,3,15,15
31/10/2022,Colorectal Surgery,RTT First,768,170,90,508,23,1095,622
30/09/2022,Gastroenterology,RTT Follow-up,200,161,28,11,9,83,66
30/04/2023,ENT,Non-RTT,445,294,75,76,119,528,286
30/09/2023,Paediatric ENT,RTT Follow-up,177,135,40,2,14,71,45
30/09/2023,Dermatology,RTT First,1126,170,25,931,56,1099,1077
29/02/2024,Breast Surgery,Non-RTT,100,58,15,27,6,55,24
30/11/2022,Paediatrics,RTT Follow-up,26,21,5,0,3,24,21
31/01/2023,Urology,Non-RTT,507,303,63,141,91,187,83
31/03/2023,Clinical Haematology,Non-RTT,710,434,113,163,60,298,58
30/04/2024,Breast Surgery,RTT Follow-up,79,20,3,56,8,60,49
30/11/2022,Diabetes,Non-RTT,540,505,35,0,117,244,76
31/08/2022,Respiratory,Non-RTT,558,426,97,35,64,347,125
31/12/2023,Gastroenterology,Non-RTT,722,612,89,21,61,203,124
30/04/2024,General Medicine,RTT First,278,145,77,56,6,357,297
30/09/2024,Neurology,RTT First,336,216,95,25,90,280,279
30/09/2024,Rheumatology,RTT Follow-up,235,187,48,0,13,77,58
31/08/2022,Gynaecology,RTT Follow-up,743,351,181,211,86,611,358
31/08/2023,Dermatology,Non-RTT,994,640,164,190,157,639,224
28/02/2023,Urology,RTT First,419,191,98,130,27,363,326
31/07/2024,Paediatric ENT,RTT First,346,260,86,0,37,341,340
30/09/2022,Neurology,Non-RTT,545,421,104,20,122,245,132
31/07/2022,Gastroenterology,Non-RTT,695,572,102,21,90,286,110
31/07/2024,Urology,RTT Follow-up,311,116,69,126,38,168,109
31/08/2024,Trauma & Orthopaedics,RTT First,666,597,69,0,42,707,631
31/01/2024,Gynaecology,RTT Follow-up,854,381,204,269,67,667,394
31/12/2022,Breast Surgery,RTT Follow-up,38,14,7,17,2,34,18
31/03/2024,Paediatrics,RTT First,381,342,39,0,39,403,396
31/07/2023,Diabetes,RTT Follow-up,56,42,14,0,12,7,7
31/05/2023,Breast Surgery,RTT Follow-up,77,31,15,31,7,38,24
31/01/2024,Gastroenterology,RTT First,404,342,35,27,53,376,310
30/04/2023,Respiratory,RTT Follow-up,110,80,26,4,3,58,39
31/10/2024,Clinical Haematology,RTT Follow-up,128,62,34,32,18,59,42
31/07/2022,Colorectal Surgery,Non-RTT,178,77,37,64,12,113,64
31/10/2024,Vascular Surgery,RTT First,123,101,22,0,15,124,124
31/10/2022,General Surgery,Non-RTT,221,188,23,10,34,200,87
31/05/2023,ENT,Non-RTT,678,447,112,119,130,662,357
30/11/2023,Paediatric ENT,Non-RTT,203,168,35,0,59,138,101
30/09/2024,Trauma & Orthopaedics,RTT Follow-up,829,747,82,0,73,629,281
30/06/2024,Diabetes,RTT Follow-up,90,77,13,0,12,4,3
30/04/2023,Breast Surgery,RTT First,474,4,22,448,12,433,433
30/04/2024,Neurology,RTT Follow-up,29,21,6,2,3,24,24
30/09/2023,Colorectal Surgery,RTT Follow-up,646,74,80,492,9,509,399
31/08/2024,Respiratory,RTT First,465,330,69,66,59,280,251
31/10/2023,Rheumatology,RTT Follow-up,136,126,10,0,6,43,40
31/07/2023,Urology,RTT First,345,108,79,158,16,329,285
31/05/2023,Diabetes,Non-RTT,548,493,55,0,103,364,113
30/11/2024,General Surgery,RTT Follow-up,563,472,71,20,43,243,153
30/09/2023,Trauma & Orthopaedics,RTT First,623,558,65,0,73,554,494
30/09/2023,Respiratory,RTT First,427,278,88,61,57,312,267
31/10/2024,Gynaecology,Non-RTT,534,345,103,86,86,205,137
30/09/2023,Clinical Haematology,Non-RTT,710,445,106,159,66,195,61
30/09/2024,Breast Surgery,RTT First,453,4,11,438,11,356,354
30/11/2023,Gynaecology,Non-RTT,616,400,125,91,140,443,279
30/09/2022,General Medicine,Non-RTT,103,101,2,0,2,321,100
31/08/2023,Trauma & Orthopaedics,Non-RTT,698,651,47,0,175,892,335
31/01/2024,Trauma & Orthopaedics,Non-RTT,642,590,52,0,150,845,331
29/02/2024,Dermatology,Non-RTT,1222,812,188,222,198,817,249
30/09/2024,Dermatology,RTT Follow-up,433,171,130,132,11,578,428
30/11/2023,General Surgery,RTT First,837,588,202,47,51,448,381
30/04/2024,Diabetes,Non-RTT,478,414,64,0,107,226,71
31/12/2022,Gastroenterology,Non-RTT,585,489,78,18,73,252,109
30/09/2022,Paediatric ENT,RTT Follow-up,120,96,24,0,10,62,40
30/04/2023,Neurology,RTT First,207,135,47,25,47,178,177
30/06/2023,Urology,Non-RTT,435,243,54,138,74,272,122
30/06/2024,Trauma & Orthopaedics,Non-RTT,657,608,49,0,115,664,311
30/06/2024,ENT,RTT First,1459,928,249,282,131,1320,1303
31/03/2023,Paediatric ENT,RTT Follow-up,149,122,27,0,7,52,32
30/11/2024,Gynaecology,RTT First,1258,735,188,335,71,874,833
28/02/2023,Cardiology,RTT First,531,346,185,0,90,427,392
31/07/2022,Cardiology,Non-RTT,259,214,45,0,39,151,79
31/10/2024,Breast Surgery,RTT First,501,9,9,483,12,349,345
29/02/2024,Gastroenterology,RTT Follow-up,162,129,20,13,17,68,60
31/08/2024,Cardiology,RTT First,527,306,221,0,77,392,368
30/06/2024,Rheumatology,Non-RTT,760,558,202,0,53,224,92
31/10/2022,Vascular Surgery,Non-RTT,29,22,7,0,10,15,12
31/07/2024,Colorectal Surgery,RTT First,515,72,69,374,35,898,518
31/10/2022,Trauma & Orthopaedics,RTT Follow-up,688,598,90,0,80,410,217
30/09/2024,Respiratory,RTT Follow-up,101,70,28,3,19,105,76
30/11/2024,ENT,RTT First,1514,1020,256,238,171,1246,1236
30/04/2023,Dermatology,RTT First,788,166,33,589,49,763,762
31/08/2023,Colorectal Surgery,RTT First,769,217,68,484,56,1028,613
31/01/2023,Diabetes,RTT First,146,120,26,0,31,109,109
30/06/2024,Colorectal Surgery,Non-RTT,124,56,23,45,11,90,48
30/04/2024,Dermatology,RTT Follow-up,311,154,87,70,13,540,403
31/08/2023,Neurology,Non-RTT,583,445,117,21,95,221,136
31/05/2024,General Surgery,RTT First,874,664,166,44,59,396,326
31/03/2023,General Medicine,Non-RTT,139,136,3,0,2,264,96
31/01/2024,Respiratory,Non-RTT,544,406,119,19,96,220,123
31/03/2024,Rheumatology,RTT First,387,310,77,0,39,311,308
30/06/2024,Cardiology,Non-RTT,233,191,42,0,30,138,108
31/12/2023,Vascular Surgery,RTT Follow-up,90,78,12,0,12,87,66
31/08/2022,Rheumatology,Non-RTT,884,677,207,0,71,272,82
31/07/2022,General Surgery,RTT Follow-up,367,282,74,11,28,168,123
29/02/2024,Cardiology,RTT Follow-up,138,58,80,0,3,125,100
30/06/2023,ENT,RTT Follow-up,889,478,92,319,74,652,362
31/10/2024,ENT,Non-RTT,802,557,163,82,195,318,243
31/08/2024,Rheumatology,RTT First,342,280,62,0,33,231,227
30/11/2024,Cardiology,Non-RTT,318,274,44,0,28,21,18
28/02/2023,Paediatric ENT,RTT Follow-up,181,154,24,3,6,92,57
31/10/2023,General Medicine,RTT First,219,88,72,59,5,329,266
31/07/2022,ENT,RTT First,1115,828,104,183,131,1123,1041
31/10/2022,Paediatrics,RTT First,351,275,76,0,40,345,335
31/10/2023,General Surgery,Non-RTT,230,187,36,7,39,111,63
31/03/2023,Breast Surgery,Non-RTT,73,26,13,34,12,76,29
30/06/2022,General Surgery,RTT First,804,598,185,21,73,353,286
31/08/2023,Paediatrics,Non-RTT,170,140,30,0,43,138,92
31/05/2023,Clinical Haematology,RTT Follow-up,86,37,19,30,6,67,41
31/10/2024,General Surgery,RTT First,930,763,157,10,61,431,335
31/12/2023,General Surgery,RTT Follow-up,363,293,52,18,22,162,109
31/08/2023,Paediatric ENT,RTT First,271,180,90,1,62,230,227
30/09/2024,Paediatrics,RTT First,484,404,80,0,29,465,460
31/07/2023,ENT,RTT Follow-up,712,369,72,271,64,588,335
29/02/2024,Vascular Surgery,Non-RTT,61,52,9,0,14,27,24
31/08/2022,Diabetes,RTT First,111,91,20,0,17,87,87
30/11/2023,Clinical Haematology,RTT Follow-up,117,42,31,44,15,129,85
31/05/2024,Urology,Non-RTT,540,277,84,179,101,162,96
30/09/2023,General Medicine,Non-RTT,80,77,3,0,5,114,72
31/08/2022,Trauma & Orthopaedics,Non-RTT,718,643,75,0,115,800,289
31/08/2022,Cardiology,Non-RTT,220,188,32,0,22,185,86
30/04/2024,Vascular Surgery,RTT Follow-up,57,42,15,0,7,36,30
30/06/2022,Clinical Haematology,RTT Follow-up,85,42,31,12,5,44,35
31/07/2022,Vascular Surgery,RTT Follow-up,58,51,7,0,3,30,24
30/11/2024,Vascular Surgery,RTT Follow-up,125,104,21,0,13,132,110
31/12/2022,Gynaecology,RTT First,1018,530,253,235,112,876,826
31/05/2023,Gastroenterology,Non-RTT,746,630,104,12,98,290,130
31/03/2024,Dermatology,RTT First,1083,247,41,795,63,984,979
31/10/2023,Trauma & Orthopaedics,RTT Follow-up,712,637,75,0,72,540,295
31/07/2022,Paediatric ENT,Non-RTT,132,111,21,0,40,97,50
31/08/2024,Colorectal Surgery,RTT Follow-up,101,58,17,26,9,420,307
31/10/2023,Clinical Haematology,RTT First,114,57,24,33,17,94,89
31/03/2023,Cardiology,RTT Follow-up,109,54,54,1,7,104,88
31/05/2023,Vascular Surgery,RTT Follow-up,96,81,15,0,11,48,35
30/11/2023,Vascular Surgery,RTT First,136,116,20,0,16,142,140
31/01/2024,Diabetes,RTT First,155,138,17,0,39,116,116
30/11/2024,Gastroenterology,Non-RTT,547,459,75,13,74,42,30
30/11/2024,Urology,Non-RTT,584,318,114,152,99,44,34
31/05/2024,Gynaecology,Non-RTT,565,380,127,58,96,370,246
31/10/2023,Dermatology,RTT Follow-up,653,202,107,344,12,582,437
31/08/2024,Paediatric ENT,RTT Follow-up,119,109,10,0,12,102,74
31/03/2024,Neurology,RTT First,289,190,65,34,65,288,286
31/08/2023,Urology,RTT Follow-up,275,101,39,135,17,220,133
30/04/2024,Paediatrics,RTT Follow-up,23,21,2,0,1,24,17
31/03/2023,Respiratory,RTT First,482,291,78,113,35,301,267
30/06/2023,Diabetes,RTT First,169,127,42,0,40,136,135
30/09/2024,General Surgery,Non-RTT,224,201,21,2,35,70,51
29/02/2024,Urology,RTT Follow-up,226,87,49,90,30,173,94
30/09/2022,Breast Surgery,Non-RTT,73,37,13,23,8,74,28
30/06/2022,Breast Surgery,RTT First,450,3,5,442,13,427,424
29/02/2024,Colorectal Surgery,RTT First,576,56,70,450,25,801,469
31/07/2024,Trauma & Orthopaedics,Non-RTT,699,635,64,0,124,709,322
31/03/2023,General Surgery,Non-RTT,198,167,18,13,21,126,63
31/12/2022,Vascular Surgery,RTT Follow-up,63,55,8,0,4,38,30
28/02/2023,Gastroenterology,RTT First,557,477,51,29,69,381,315
31/03/2023,Rheumatology,RTT Follow-up,141,121,20,0,5,37,34
31/12/2022,Urology,Non-RTT,432,260,46,126,74,225,101
31/03/2023,Colorectal Surgery,RTT Follow-up,680,62,91,527,4,533,424
31/08/2023,Gastroenterology,RTT Follow-up,205,160,25,20,15,130,94
31/12/2022,Clinical Haematology,RTT First,133,51,39,43,16,120,116
31/07/2023,Neurology,Non-RTT,623,489,113,21,99,153,86
30/04/2024,Clinical Haematology,RTT First,125,75,25,25,12,89,88
29/02/2024,Paediatrics,Non-RTT,235,208,27,0,44,112,83
30/11/2022,ENT,Non-RTT,585,448,82,55,117,588,296
28/02/2023,Respiratory,Non-RTT,598,469,97,32,77,322,131
31/05/2024,Gynaecology,RTT First,1043,642,148,253,76,1011,970
31/12/2022,General Medicine,RTT First,85,51,15,19,8,215,167
30/11/2024,Diabetes,RTT First,106,83,23,0,19,71,70
31/12/2023,Cardiology,Non-RTT,262,204,58,0,36,158,96
30/09/2022,Cardiology,RTT Follow-up,162,64,98,0,18,134,100
31/10/2022,Breast Surgery,Non-RTT,92,48,15,29,12,44,24
30/06/2022,General Medicine,RTT Follow-up,69,67,2,0,0,59,46
31/07/2024,Respiratory,Non-RTT,552,408,127,17,100,199,106
30/04/2023,Paediatrics,RTT First,221,180,39,2,17,226,224
31/03/2024,Respiratory,RTT Follow-up,106,87,17,2,13,65,51
31/05/2023,General Medicine,RTT Follow-up,95,66,29,0,0,80,64
31/08/2024,Clinical Haematology,Non-RTT,776,418,148,210,45,95,52
31/01/2023,ENT,RTT Follow-up,932,563,102,267,65,716,438
30/11/2023,General Medicine,RTT Follow-up,174,84,88,2,1,128,77
30/06/2022,Vascular Surgery,RTT First,132,105,27,0,15,61,59
30/04/2024,Gynaecology,RTT First,986,470,194,322,62,925,889
30/04/2023,Vascular Surgery,RTT First,77,62,15,0,6,81,78
31/07/2024,Gastroenterology,RTT First,475,304,148,23,38,393,320
30/11/2022,Dermatology,RTT First,876,204,36,636,61,881,877
31/07/2024,Dermatology,Non-RTT,1230,866,226,138,172,454,211
31/10/2023,Diabetes,Non-RTT,561,499,62,0,186,233,65
31/10/2022,Cardiology,RTT Follow-up,103,37,66,0,14,89,68
28/02/2023,Gynaecology,RTT Follow-up,1001,521,190,290,104,668,401
31/12/2023,Paediatric ENT,Non-RTT,120,86,30,4,21,70,47
31/08/2022,Gastroenterology,RTT First,249,192,36,21,16,204,164
31/07/2024,Rheumatology,Non-RTT,1035,789,246,0,69,201,96
31/03/2024,Trauma & Orthopaedics,RTT First,694,631,63,0,30,633,584
30/11/2022,Neurology,RTT Follow-up,37,26,6,5,5,25,22
31/07/2023,Colorectal Surgery,Non-RTT,156,50,42,64,13,122,60
31/12/2023,Colorectal Surgery,Non-RTT,134,57,35,42,7,76,46
31/12/2023,ENT,RTT First,883,545,172,166,84,893,869
31/01/2023,General Surgery,RTT First,835,626,203,6,63,368,297
31/10/2022,Neurology,RTT First,278,188,72,18,29,235,233
30/09/2022,Paediatrics,Non-RTT,264,215,49,0,56,217,123
31/10/2022,Rheumatology,RTT Follow-up,108,98,10,0,16,44,36
31/12/2022,Diabetes,Non-RTT,297,269,28,0,92,172,57
30/06/2022,Gynaecology,Non-RTT,582,370,126,86,112,527,264
30/09/2022,Clinical Haematology,Non-RTT,723,432,98,193,70,300,77
31/07/2024,Cardiology,RTT First,413,228,185,0,75,375,351
31/01/2024,Rheumatology,Non-RTT,759,558,201,0,81,349,119
31/03/2023,Vascular Surgery,Non-RTT,33,26,7,0,14,19,15
31/10/2023,Neurology,RTT Follow-up,48,34,7,7,5,35,34
31/10/2024,General Medicine,RTT Follow-up,232,220,12,0,4,91,48
30/09/2023,Rheumatology,RTT First,386,347,39,0,73,252,247
31/07/2024,Gynaecology,RTT Follow-up,824,409,204,211,54,605,368
31/01/2024,Cardiology,Non-RTT,376,306,70,0,39,217,144
31/12/2023,Breast Surgery,Non-RTT,78,41,18,19,9,53,22
31/12/2022,Paediatrics,Non-RTT,217,174,43,0,55,209,117
31/05/2024,Cardiology,RTT Follow-up,32,27,5,0,0,138,115
30/06/2023,General Medicine,Non-RTT,112,111,1,0,3,137,69
30/09/2022,Gynaecology,RTT First,912,442,179,291,82,816,773
31/01/2024,Clinical Haematology,RTT First,164,72,31,61,3,165,158
31/07/2023,Dermatology,RTT First,1105,162,58,885,65,951,920
31/03/2024,Cardiology,Non-RTT,331,265,66,0,38,217,147
31/12/2023,Trauma & Orthopaedics,RTT First,510,474,36,0,33,546,484
30/09/2023,Gastroenterology,Non-RTT,812,669,121,22,105,345,163
31/03/2024,ENT,RTT First,1185,753,199,233,61,1126,1111
28/02/2023,Clinical Haematology,RTT Follow-up,68,28,16,24,9,60,33
31/03/2023,Colorectal Surgery,Non-RTT,162,58,46,58,10,96,49
31/08/2024,Paediatric ENT,Non-RTT,214,177,37,0,51,86,78
31/05/2024,Colorectal Surgery,RTT Follow-up,88,40,17,31,8,606,443
31/07/2023,Breast Surgery,RTT First,472,3,2,467,27,445,437
31/05/2023,Urology,RTT First,362,103,77,182,17,346,308
28/02/2023,Paediatrics,RTT Follow-up,32,21,11,0,5,33,25
31/07/2024,General Surgery,RTT First,999,752,222,25,90,454,368
31/03/2023,Cardiology,Non-RTT,267,218,49,0,52,243,147
31/03/2023,General Surgery,RTT Follow-up,372,264,81,27,41,230,136
31/10/2024,Neurology,Non-RTT,645,514,116,15,102,18,15
31/05/2023,Gynaecology,RTT Follow-up,825,381,216,228,59,667,389
31/12/2022,Clinical Haematology,Non-RTT,752,461,100,191,65,295,82
31/08/2024,Vascular Surgery,RTT Follow-up,63,52,11,0,4,54,44
30/11/2024,Neurology,RTT First,322,200,102,20,64,285,282
31/07/2024,Clinical Haematology,RTT Follow-up,128,62,25,41,15,81,53
30/11/2022,Gastroenterology,RTT First,453,386,46,21,32,399,322
31/01/2023,Trauma & Orthopaedics,RTT First,1096,1021,75,0,155,1004,931
30/11/2023,General Medicine,Non-RTT,79,75,4,0,3,174,104
30/09/2022,General Surgery,RTT First,731,509,202,20,56,317,247
30/11/2024,General Medicine,Non-RTT,34,34,0,0,1,42,37
31/08/2023,ENT,Non-RTT,564,403,70,91,123,686,366
31/07/2022,Trauma & Orthopaedics,RTT Follow-up,707,610,97,0,67,325,205
31/10/2022,Gastroenterology,Non-RTT,670,574,82,14,86,274,113
31/05/2024,Gastroenterology,RTT Follow-up,118,99,13,6,17,94,76
31/03/2024,Rheumatology,Non-RTT,884,619,265,0,50,355,150
31/07/2022,Paediatric ENT,RTT Follow-up,123,101,21,1,7,53,29
31/08/2023,Diabetes,Non-RTT,569,515,54,0,145,168,65
31/07/2022,Colorectal Surgery,RTT Follow-up,673,58,61,554,6,496,425
31/01/2023,Colorectal Surgery,RTT First,694,104,91,499,13,743,426
31/01/2023,Breast Surgery,Non-RTT,75,31,16,28,15,91,33
30/09/2022,Clinical Haematology,RTT Follow-up,51,31,13,7,3,31,19
30/09/2023,Cardiology,Non-RTT,317,256,61,0,37,271,143
31/01/2024,Dermatology,RTT Follow-up,606,184,91,331,21,536,382
30/06/2024,Paediatrics,RTT First,398,330,68,0,26,402,395
31/01/2024,Neurology,RTT First,310,218,79,13,70,298,294
31/01/2024,General Medicine,RTT First,129,45,51,33,7,332,271
30/04/2023,Diabetes,RTT First,146,119,27,0,22,99,99
31/08/2023,General Medicine,RTT First,230,98,71,61,3,264,223
30/11/2022,Respiratory,Non-RTT,668,528,104,36,87,437,173
30/11/2024,Rheumatology,RTT Follow-up,240,181,59,0,8,70,53
30/09/2022,Urology,Non-RTT,483,271,63,149,72,260,98
30/09/2023,ENT,RTT First,1125,767,151,207,104,1041,1011
31/01/2024,Rheumatology,RTT Follow-up,194,170,24,0,8,76,67
31/10/2022,Diabetes,RTT First,119,110,9,0,21,86,85
31/07/2022,Clinical Haematology,Non-RTT,789,487,99,203,52,344,85
30/04/2024,Trauma & Orthopaedics,Non-RTT,693,623,70,0,112,873,344
30/09/2022,Vascular Surgery,RTT First,115,91,24,0,16,68,64
31/01/2023,Rheumatology,RTT First,616,558,58,0,161,364,355
31/10/2022,Cardiology,Non-RTT,299,240,59,0,39,307,142
31/03/2024,General Surgery,RTT Follow-up,606,500,90,16,47,332,206
30/06/2023,Paediatrics,RTT First,361,299,59,3,43,369,362
31/07/2023,General Surgery,Non-RTT,172,144,25,3,50,128,68
31/07/2023,Neurology,RTT Follow-up,50,32,13,5,8,41,30
31/05/2023,Paediatric ENT,RTT Follow-up,149,122,26,1,6,102,54
30/06/2024,Dermatology,RTT Follow-up,291,104,86,101,8,565,406
31/12/2023,General Surgery,Non-RTT,203,165,29,9,52,109,64
31/05/2023,Neurology,Non-RTT,560,450,92,18,93,212,115
31/10/2023,Urology,RTT First,397,179,84,134,20,377,323
31/08/2023,Gastroenterology,Non-RTT,704,579,106,19,83,349,173
31/01/2024,Paediatrics,RTT First,355,302,52,1,27,378,372
31/05/2024,Paediatric ENT,RTT Follow-up,296,239,57,0,10,211,106
30/09/2024,Diabetes,RTT First,133,97,36,0,21,94,92
29/02/2024,Urology,Non-RTT,563,307,89,167,101,200,119
31/12/2022,Paediatric ENT,RTT Follow-up,80,58,20,2,15,68,38
30/11/2023,Paediatrics,Non-RTT,268,227,40,1,66,245,157
30/11/2024,Colorectal Surgery,RTT Follow-up,122,62,22,38,4,526,409
30/11/2023,Colorectal Surgery,RTT Follow-up,567,56,69,442,8,486,369
31/05/2024,Paediatrics,Non-RTT,270,231,39,0,30,141,112
31/10/2024,Urology,RTT First,506,169,146,191,19,321,270
31/07/2024,Breast Surgery,RTT First,463,3,7,453,9,519,515
30/11/2022,Trauma & Orthopaedics,Non-RTT,747,662,85,0,166,1046,406
31/08/2022,General Surgery,Non-RTT,214,177,28,9,22,189,78
29/02/2024,Clinical Haematology,RTT Follow-up,102,37,22,43,22,79,60
31/07/2022,Rheumatology,RTT Follow-up,139,129,10,0,12,25,23
31/08/2022,Paediatrics,RTT Follow-up,23,20,3,0,4,23,17
31/08/2022,Breast Surgery,RTT First,462,6,9,447,11,455,449
31/01/2023,General Surgery,Non-RTT,314,252,52,10,54,142,63
28/02/2023,Breast Surgery,RTT First,684,6,6,672,18,522,518
30/06/2022,Cardiology,RTT First,417,249,168,0,51,356,330
30/06/2023,Cardiology,RTT Follow-up,95,35,60,0,7,84,68
31/01/2023,Respiratory,RTT First,511,354,66,91,41,278,238
31/07/2024,Gynaecology,RTT First,1464,936,152,376,93,1157,1121
31/05/2023,Gastroenterology,RTT Follow-up,186,152,23,11,28,133,105
31/01/2023,Dermatology,RTT First,917,196,38,683,87,854,852
30/09/2024,ENT,RTT First,1547,1050,277,220,227,1335,1318
31/07/2024,General Medicine,RTT Follow-up,157,115,41,1,3,120,91
31/03/2023,Vascular Surgery,RTT Follow-up,93,77,16,0,20,56,38
31/10/2022,ENT,RTT First,998,632,133,233,91,920,866
31/01/2024,Diabetes,Non-RTT,505,450,55,0,149,242,90
31/12/2023,Respiratory,RTT First,428,286,62,80,50,252,226
30/11/2024,Clinical Haematology,Non-RTT,803,460,148,195,55,19,17
31/07/2022,Neurology,RTT First,174,103,58,13,22,166,165
31/08/2023,Vascular Surgery,RTT Follow-up,113,89,24,0,12,91,71
31/07/2024,Neurology,RTT Follow-up,41,25,11,5,3,32,28
31/10/2024,Gastroenterology,RTT Follow-up,113,90,16,7,11,75,64
30/11/2023,Clinical Haematology,Non-RTT,815,483,133,199,94,277,85
31/12/2023,Dermatology,RTT First,771,142,36,593,68,793,785
28/02/2023,Gynaecology,RTT First,1353,731,318,304,130,1078,1004
30/06/2022,Breast Surgery,Non-RTT,84,50,14,20,11,63,15
30/09/2023,Colorectal Surgery,Non-RTT,149,51,48,50,10,77,43
30/04/2024,Rheumatology,Non-RTT,949,690,259,0,60,306,131
30/11/2022,Urology,RTT Follow-up,261,87,28,146,20,203,120
30/04/2024,Gastroenterology,RTT First,467,268,165,34,59,380,321
30/04/2024,Paediatric ENT,RTT First,238,184,54,0,10,282,279
30/06/2024,Neurology,RTT First,264,200,42,22,43,242,238
31/12/2022,Neurology,Non-RTT,425,336,73,16,82,211,108
30/11/2024,Cardiology,RTT Follow-up,72,56,16,0,3,90,82
31/07/2023,Vascular Surgery,RTT First,116,91,25,0,12,177,168
31/05/2023,Cardiology,RTT Follow-up,82,42,40,0,6,58,58
31/08/2022,Dermatology,RTT First,1120,364,55,701,82,1091,1081
31/07/2022,General Medicine,Non-RTT,70,70,0,0,6,211,83
31/03/2024,Diabetes,RTT First,141,98,43,0,42,83,80
30/06/2022,Rheumatology,RTT First,338,300,38,0,69,194,193
30/09/2023,General Surgery,RTT Follow-up,391,318,57,16,49,236,139
31/08/2024,Gynaecology,Non-RTT,511,317,97,97,79,275,182
31/08/2024,Breast Surgery,RTT Follow-up,69,35,9,25,4,54,31
31/10/2024,Diabetes,RTT Follow-up,95,72,23,0,24,13,7
31/03/2023,Diabetes,RTT First,151,108,43,0,45,123,122
30/11/2023,Cardiology,RTT Follow-up,132,55,77,0,5,89,81
31/08/2024,ENT,RTT First,1457,1034,229,194,185,1287,1273
30/09/2022,General Medicine,RTT Follow-up,96,88,3,5,0,114,81
31/08/2023,Gynaecology,Non-RTT,607,350,152,105,127,463,272
31/10/2024,Paediatrics,Non-RTT,263,226,37,0,33,33,26
30/09/2024,Cardiology,Non-RTT,328,272,56,0,41,93,66
31/08/2023,Breast Surgery,RTT Follow-up,89,29,20,40,11,61,39
30/06/2022,Colorectal Surgery,RTT First,771,245,48,478,27,728,402
30/06/2024,Respiratory,RTT Follow-up,82,55,23,4,14,90,66
31/08/2022,Respiratory,RTT First,435,252,112,71,39,233,198
30/09/2024,Rheumatology,Non-RTT,955,691,264,0,68,104,61
31/10/2022,General Surgery,RTT Follow-up,355,300,46,9,42,222,139
30/06/2022,Paediatric ENT,RTT First,218,155,61,2,29,114,112
30/06/2024,ENT,Non-RTT,499,312,104,83,99,748,468
31/12/2023,Rheumatology,RTT First,380,319,61,0,52,216,214
30/11/2022,Dermatology,Non-RTT,1227,769,189,269,181,969,302
30/09/2023,Diabetes,RTT First,135,102,33,0,26,101,100
30/04/2023,Rheumatology,Non-RTT,696,497,199,0,42,289,100
31/12/2022,Gastroenterology,RTT Follow-up,220,180,26,14,15,97,79
30/04/2024,Cardiology,RTT First,488,285,203,0,67,386,342
29/02/2024,Gynaecology,RTT First,1072,652,163,257,74,1149,1094
31/10/2023,Diabetes,RTT Follow-up,73,58,15,0,19,13,9
31/01/2023,Vascular Surgery,Non-RTT,41,33,8,0,7,16,10
30/09/2024,Gastroenterology,RTT First,386,237,123,26,38,318,265
28/02/2023,General Surgery,RTT First,773,570,176,27,62,342,264
30/11/2023,Gastroenterology,RTT Follow-up,216,182,24,10,9,105,85
31/05/2024,General Medicine,Non-RTT,178,177,1,0,9,152,111
31/01/2024,ENT,Non-RTT,822,547,163,112,171,826,477
30/06/2022,Dermatology,Non-RTT,1184,782,167,235,152,899,267
